Roll,Die 1,Die 2,Die 3,Die 4
1,1,2,2,2
2,3,3,3,1
3,2,2,1,2
4,1,2,2,3
5,1,2,2,2
6,2,2,3,1
7,3,3,2,3
8,3,3,3,3
9,3,1,2,3
10,2,1,1,3
11,3,1,1,1
12,2,1,3,3
13,3,1,2,2
14,3,1,1,3
15,3,2,3,2
16,2,1,3,3
17,2,3,3,3
18,3,1,2,1
19,1,1,3,1
20,2,3,2,1
21,3,1,3,1
22,1,2,2,2
23,3,3,1,3
24,1,2,2,1
25,2,2,1,2
26,2,1,3,2
27,3,2,2,2
28,3,1,1,1
29,3,1,2,1
30,2,3,3,3
31,1,1,2,1
32,3,2,1,2
33,1,1,2,3
34,2,2,2,3
35,1,1,3,3
36,2,2,1,3
37,1,2,1,3
38,1,3,3,2
39,1,1,2,1
40,1,1,1,2
41,1,3,2,2
42,3,2,2,1
43,1,1,1,3
44,2,1,2,2
45,1,1,1,1
46,3,2,2,2
47,1,1,2,3
48,1,3,1,1
49,1,2,2,3
50,1,1,2,1
51,1,2,2,3
52,1,1,2,1
53,1,3,2,2
54,3,1,1,1
55,2,1,2,3
56,1,3,2,3
57,3,1,3,2
58,3,1,2,1
59,2,3,2,1
60,1,2,3,1
61,2,3,2,1
62,3,2,2,2
63,1,2,1,1
64,2,3,3,2
65,1,3,2,3
66,2,3,3,1
67,2,1,3,1
68,3,1,3,1
69,3,1,1,3
70,3,1,1,3
71,2,3,1,1
72,2,2,1,3
73,3,1,3,3
74,3,3,3,2
75,1,1,2,3
76,1,3,1,3
77,3,2,3,1
78,3,1,1,2
79,2,2,3,1
80,2,1,1,2
81,2,1,2,1
82,3,2,3,2
83,1,1,3,2
84,3,2,2,2
85,1,1,1,3
86,2,3,3,3
87,3,3,2,1
88,1,3,1,2
89,3,3,2,3
90,2,2,1,1
91,3,3,3,1
92,2,1,2,3
93,2,1,1,3
94,3,2,2,2
95,2,2,2,1
96,1,3,2,1
97,1,3,2,1
98,3,3,3,3
99,3,1,3,2
100,2,3,1,2
101,2,3,1,1
102,1,2,1,2
103,3,1,2,2
104,1,2,3,1
105,3,2,1,3
106,1,2,3,2
107,3,3,1,3
108,2,3,2,1
109,2,1,2,2
110,3,3,2,1
111,2,3,2,3
112,2,3,3,1
113,2,2,2,3
114,3,3,2,1
115,2,1,1,1
116,1,3,1,2
117,3,1,1,1
118,2,3,3,2
119,3,1,2,1
120,2,2,1,1
121,2,2,3,3
122,2,2,2,3
123,1,1,3,2
124,1,2,3,2
125,2,1,2,2
126,2,3,2,2
127,2,2,1,3
128,2,3,3,3
129,3,1,3,3
130,2,1,3,3
131,1,3,1,2
132,1,2,2,3
133,2,2,2,3
134,1,1,1,2
135,3,1,1,2
136,1,1,2,3
137,2,2,3,3
138,1,1,3,1
139,2,2,2,3
140,2,2,3,3
141,1,1,3,3
142,2,2,2,1
143,2,3,3,1
144,3,2,1,1
145,3,3,3,1
146,2,2,2,2
147,2,1,1,2
148,1,2,1,2
149,1,3,3,1
150,1,2,2,3
151,1,1,3,1
152,3,3,3,2
153,2,1,2,2
154,1,2,2,3
155,1,2,1,3
156,2,2,3,1
157,3,3,2,2
158,2,3,3,2
159,1,1,2,2
160,3,2,2,2
161,2,3,3,3
162,2,3,1,1
163,3,3,1,2
164,3,3,1,1
165,1,3,3,1
166,2,3,2,2
167,2,2,3,2
168,3,1,2,2
169,2,2,1,1
170,1,1,3,3
171,3,2,2,3
172,2,1,3,2
173,3,1,2,3
174,2,1,3,1
175,1,3,2,1
176,2,3,2,3
177,1,3,2,1
178,3,2,3,3
179,1,2,1,3
180,1,2,1,3
181,1,3,1,1
182,2,3,3,3
183,3,1,2,1
184,2,3,1,3
185,3,2,1,1
186,3,2,1,3
187,2,2,2,1
188,3,2,2,1
189,1,2,1,3
190,2,2,2,1
191,2,3,2,3
192,3,1,3,3
193,3,2,2,3
194,3,3,3,3
195,1,2,2,3
196,3,2,1,3
197,1,2,3,3
198,1,1,3,1
199,3,3,2,3
200,2,1,2,2
201,3,2,3,2
202,3,1,2,1
203,1,3,3,1
204,2,2,1,2
205,3,2,1,2
206,1,1,2,3
207,1,2,3,3
208,2,3,3,3
209,1,1,1,3
210,1,1,3,3
211,3,2,1,3
212,2,3,1,3
213,3,1,3,1
214,2,1,2,3
215,3,1,3,3
216,1,2,3,2
217,3,2,2,2
218,2,2,1,1
219,2,1,2,1
220,1,3,3,2
221,1,3,2,2
222,3,2,2,2
223,1,2,1,2
224,1,2,2,2
225,1,2,2,3
226,2,2,1,1
227,2,2,1,1
228,2,3,1,2
229,3,3,3,1
230,2,1,2,3
231,1,2,1,3
232,1,3,3,1
233,3,2,2,3
234,2,2,1,2
235,2,3,3,3
236,2,2,1,3
237,3,3,3,3
238,2,3,2,3
239,1,1,1,1
240,2,2,2,2
241,3,1,2,1
242,1,2,1,2
243,2,1,2,2
244,1,1,2,3
245,1,3,3,3
246,1,3,2,3
247,1,3,1,2
248,1,3,2,3
249,2,2,3,3
250,2,2,2,1
251,2,1,1,1
252,1,1,2,1
253,3,2,3,3
254,3,2,1,3
255,1,3,2,2
256,3,1,1,3
257,2,3,2,2
258,2,2,2,2
259,2,2,2,1
260,1,1,1,2
261,3,3,1,2
262,3,2,3,2
263,1,3,2,2
264,1,2,2,1
265,2,2,3,2
266,2,3,1,2
267,2,1,2,1
268,1,3,3,3
269,3,3,1,2
270,1,2,1,1
271,1,1,2,1
272,2,3,3,2
273,1,3,3,1
274,3,3,2,1
275,1,1,1,3
276,2,2,3,3
277,2,1,1,3
278,3,2,1,1
279,2,1,3,1
280,3,2,2,3
281,1,3,1,2
282,2,2,2,2
283,2,2,3,2
284,1,1,1,2
285,2,3,1,2
286,1,1,2,3
287,3,2,1,1
288,2,2,2,2
289,3,1,1,2
290,2,2,3,1
291,1,2,1,2
292,2,2,1,1
293,3,1,3,2
294,3,1,1,2
295,2,3,1,1
296,3,1,1,1
297,1,1,1,3
298,3,3,2,2
299,3,3,3,3
300,2,2,2,2
301,1,1,3,1
302,2,2,1,1
303,1,3,1,3
304,2,2,2,2
305,2,2,2,3
306,1,3,1,3
307,2,3,3,2
308,3,1,3,1
309,3,1,1,1
310,2,1,3,2
311,3,3,1,2
312,3,3,2,2
313,3,1,1,1
314,3,2,3,3
315,2,1,3,3
316,3,3,2,1
317,3,2,2,3
318,2,3,2,2
319,1,3,1,3
320,3,2,1,1
321,2,3,3,3
322,1,1,3,3
323,3,2,3,1
324,2,3,3,1
325,2,2,1,1
326,2,3,1,1
327,1,2,3,3
328,2,3,3,3
329,2,2,1,1
330,3,3,1,3
331,3,1,1,3
332,2,1,1,3
333,2,2,3,1
334,1,2,1,2
335,2,3,3,1
336,2,2,1,1
337,2,2,1,1
338,2,3,3,3
339,1,2,1,3
340,2,1,3,1
341,2,3,3,2
342,2,3,1,3
343,1,1,3,1
344,3,1,2,1
345,1,3,2,2
346,1,3,2,2
347,1,3,3,2
348,3,1,2,1
349,1,3,2,3
350,3,2,1,1
351,1,3,2,3
352,1,1,2,2
353,3,3,2,1
354,3,3,1,3
355,3,2,1,1
356,2,2,1,3
357,3,2,3,3
358,1,1,2,1
359,2,3,2,3
360,2,3,2,2
361,2,1,2,3
362,3,3,3,1
363,1,2,1,3
364,3,2,3,2
365,2,3,2,2
366,1,3,3,1
367,1,2,2,1
368,1,1,2,3
369,1,3,1,1
370,1,2,1,1
371,3,1,3,1
372,1,1,1,3
373,1,2,1,3
374,2,3,1,1
375,2,1,3,3
376,1,2,1,3
377,2,1,2,2
378,2,1,2,2
379,1,3,3,3
380,1,2,2,1
381,3,3,3,3
382,3,3,2,2
383,2,3,2,2
384,1,1,3,1
385,2,3,2,2
386,3,2,1,2
387,3,3,2,1
388,2,3,1,1
389,2,1,1,1
390,3,3,2,2
391,3,3,2,3
392,3,3,1,3
393,1,1,1,1
394,3,2,3,2
395,1,1,2,1
396,1,2,2,3
397,3,1,1,1
398,2,3,3,3
399,3,1,1,3
400,2,2,1,3
401,1,2,3,3
402,2,1,3,3
403,3,2,3,1
404,2,2,2,3
405,3,1,3,1
406,2,2,3,2
407,2,2,1,2
408,3,3,1,1
409,2,1,2,3
410,2,3,1,3
411,3,3,1,1
412,1,3,2,2
413,1,2,1,1
414,3,1,3,1
415,2,1,2,2
416,3,2,3,1
417,1,3,1,1
418,2,2,2,3
419,2,1,3,1
420,1,1,2,1
421,1,2,2,3
422,3,3,3,3
423,3,3,3,1
424,1,2,1,2
425,1,3,1,2
426,1,1,1,1
427,1,1,2,3
428,2,2,3,1
429,2,3,1,3
430,2,1,2,2
431,1,1,2,3
432,3,3,1,1
433,2,3,1,3
434,1,1,1,2
435,1,1,3,1
436,2,1,2,1
437,3,3,2,1
438,2,1,3,3
439,3,1,2,1
440,3,1,2,3
441,2,2,1,1
442,1,3,3,2
443,2,3,3,2
444,3,3,3,3
445,3,3,1,2
446,3,3,1,1
447,3,1,2,3
448,1,1,1,3
449,1,2,1,3
450,1,2,3,3
451,1,3,2,2
452,3,3,3,3
453,1,3,2,1
454,2,3,1,1
455,2,1,3,1
456,1,3,2,2
457,2,2,3,3
458,1,3,2,1
459,3,3,3,2
460,2,3,1,2
461,2,3,2,1
462,2,3,3,1
463,3,2,2,2
464,2,2,1,1
465,1,2,2,1
466,1,3,2,3
467,2,3,2,2
468,3,2,1,3
469,1,2,2,2
470,3,2,1,1
471,2,1,2,2
472,3,3,1,1
473,3,1,1,2
474,2,3,2,3
475,2,2,3,1
476,2,2,1,2
477,1,2,3,1
478,1,3,2,2
479,2,3,3,1
480,3,2,3,3
481,1,2,3,3
482,2,2,1,1
483,1,2,2,2
484,2,1,2,3
485,1,2,2,1
486,2,1,2,2
487,1,1,1,2
488,3,2,3,3
489,2,3,2,1
490,1,3,1,2
491,2,2,1,1
492,1,3,1,3
493,1,2,1,1
494,1,2,1,2
495,2,3,2,3
496,1,2,1,1
497,1,1,1,2
498,2,2,1,1
499,1,3,1,2
500,1,2,3,1
501,,,1,
