Timestamp,What new word is Cory using?,What language?,"Date if different than ""now""?",Description
12/3/2018 21:46:50,Bye bye wave,Sign,12/2/2018,Open and closing hand at you
12/9/2018 19:37:38,Pointing,Sign,12/9/2018,
12/12/2018 15:52:38,Blow kisses,Sign,12/12/2018,
1/6/2019 9:16:28,Shake Head,Sign,1/6/2019,"Shake head when asked about things, probably doesn't mean no"
2/4/2019 9:20:31,All done,Sign,2/4/2019,Shaking hands back and forth
2/18/2019 14:33:38,Dog,Animal Sound,2/17/2019,Responds when asked what sound a dog makes
2/18/2019 14:36:46,Dad,Chinese,2/12/2019,Maybe? Says baba when he sees me and sometimes responds to where is baba by pointing at me.
2/23/2019 8:09:14,Sheep,Animal Sound,2/23/2019,Says baa baa when asked what sound a sheep makes
2/25/2019 16:50:06,Pick me up,Sign,2/20/2019,"All done shake hands sign, probably mislearned from being picked up after meals."
2/25/2019 23:09:27,Cow,Animal Sound,2/25/2019,"When agreed what sound a cow makes, he says ""boo boo"""
2/28/2019 17:48:10,Sheep,Animal Sound,2/28/2019,Responds when asked what sound a sheep makes with baa
3/1/2019 17:15:40,Elephant,Animal Sound,3/1/2019,Say baa (brah) when playing with elephant toy
3/3/2019 8:03:48,I don't know,Sign,3/2/2019,Raising hands palms up and shrugging
3/10/2019 16:45:53,Elephant,Sign,3/10/2019,"Raise hand, does it when immitating sound after seeing elephants in a book"
3/12/2019 18:31:04,Milk,Sign,3/12/2019,"For real this time, Connie won't give it to him unless he does it."
3/16/2019 12:25:36,More,Sign,3/16/2019,"Touch index finger to thumb, maybe not intentional"
3/18/2019 22:43:36,More,Sign,3/18/2019,"Tapping fingers, definitely this time."
3/19/2019 18:05:07,Hot,Sign,3/19/2019,Points to head (instead of grabbing his ears like Theo does)
3/19/2019 18:55:14,Bear,Animal Sound,3/19/2019,Grrrr when pointing at a bear picture
3/20/2019 17:58:44,Bath,Sign,3/19/2019,Rubs chest with both hands
3/21/2019 18:45:29,Goodbye,Sign,3/21/2019,Wave goodbye
3/27/2019 22:43:59,Lion,Animal Sound,3/27/2019,Doesn't roar but had a consistent sound
3/29/2019 18:17:20,Wolf,Animal Sound,3/29/2019,He howls when asked about wolf sounds
3/30/2019 7:04:00,Eat,Sign,3/30/2019,Points at mouth
3/30/2019 7:04:44,Row,English,3/27/2019,"Says row row when he wants to read ""Row row row your boat"" book"
3/31/2019 13:04:51,Cat,Sign,3/31/2019,"Does the wisker sign, but on top of his head"
4/5/2019 11:06:57,Elephant,Sign,4/5/2019,Holding hand straight up imitating a trunk
4/7/2019 9:38:12,Crow,Animal Sound,4/7/2019,Makes a car caw sound while pointing at birds on the ground
4/7/2019 14:45:04,Older brother,Chinese,4/7/2019,Says 'gor gor' and points to Theo when asked.
4/10/2019 8:37:00,Wolf,Animal Sound,4/9/2019,Howls when pointing to wolf in book
4/14/2019 9:16:55,Ball,Chinese,4/14/2019,Says ba whole pointing at ball. Also goes to the ball when asked where it is.
4/15/2019 7:23:07,Book,Sign,4/14/2019,Opens and closes hands togetherness
4/15/2019 7:23:36,Sleep,Sign,4/14/2019,Places hands on either side of head
4/16/2019 6:55:07,Lion,Animal Sound,4/15/2019,"Says roar when singing ""The Lion on the bus goes roar"""
4/18/2019 8:36:19,There,Chinese,4/18/2019,Gor tho
4/18/2019 21:46:20,Duck,Animal Sound,4/18/2019,Sings the quack part of 6 little ducks
4/18/2019 21:46:35,Yes,Sign,4/11/2019,Nods
4/18/2019 21:46:54,No,Sign,4/12/2019,Shakes his head
4/20/2019 7:11:13,Grandpa,Spanish,4/20/2019,Very clearly says abuelo when running to grandpa
4/21/2019 8:44:26,Mom,Chinese,4/21/2019,Points at mom when asked where she is
4/21/2019 9:42:02,Hat,Sign,4/21/2019,Hand on head
4/24/2019 12:16:25,Bubble,English,4/24/2019,Says bubba
4/25/2019 17:12:09,More,English,4/20/2019,Says Mo mo 
4/25/2019 17:12:57,Pick me up,Chinese,4/18/2019,Po
4/29/2019 14:33:35,Scared,Sign,4/29/2019,Pat's chest with hand
5/1/2019 7:34:38,Hat,Sign,4/17/2019,Pat's head
5/2/2019 7:10:17,Pick me up,Chinese,5/2/2019,Po
5/2/2019 8:04:53,Older brother,Chinese,5/1/2019,Gah gah
5/11/2019 11:41:49,Rooster,Animal Sound,5/10/2019,Points at picture and says gock gock
5/11/2019 11:51:58,Baby,Chinese,5/3/2019,Bibi
5/17/2019 22:35:03,Bye,English,5/17/2019,Says bye bye
5/21/2019 18:11:19,No,English,5/21/2019,Na na na and shakes head
5/22/2019 7:12:34,Sleep,Sign,5/21/2019,Puts hand flat against head and tilts it
5/22/2019 9:23:14,No,Sign,5/21/2019,Waggles finger
5/23/2019 18:35:45,Sheep,Animal Sound,5/23/2019,Says baa
5/24/2019 18:53:58,Cat,Sign,5/24/2019,Makes ears on his head with both hands
5/25/2019 18:33:48,Book,Sign,5/25/2019,Open and closing hand
5/26/2019 11:36:28,Open sliding door,Sign,5/26/2019,Points at the door and then moves hand laterally over and over.
5/26/2019 16:08:03,Maternal Grandmother,Chinese,5/26/2019,Paw paw
5/27/2019 10:49:14,Chicken,Chinese,5/27/2019,Goc goc
5/27/2019 10:52:33,Baby,Chinese,5/27/2019,Bibi
5/28/2019 18:48:07,Duck,Animal Sound,4/30/2019,Quack!
5/30/2019 9:48:00,1,Sign,5/30/2019,Holds up one finger way among to play one more time
5/31/2019 7:33:00,No,English,5/31/2019,Says nah nah nah while waving finger
5/31/2019 15:09:18,Frog,Animal Sound,5/31/2019,Distinct but hard to describe
5/31/2019 15:10:53,Rabbit,Sign,5/31/2019,Two dinners held up and bounced up and down
6/1/2019 9:20:11,Quiet,Sign,6/1/2019,Holds finger to mouth and blows
6/1/2019 15:53:57,Moose,Animal Sound,6/1/2019,"Says 'boop' instead of 'mook', which is what the PJ Funnybunny book says."
6/1/2019 17:48:41,Bye,English,6/1/2019,Waves and says baaa!
6/2/2019 16:57:19,Horse,Animal Sound,6/2/2019,Neigh
6/8/2019 7:09:13,Horse,Animal Sound,6/8/2019,Neigh while holding a toy horse
6/8/2019 15:38:31,Lion,Animal Sound,6/7/2019,Roars
6/8/2019 15:56:09,Round and round,Sign,6/8/2019,Circles arms to request wheels on the bus book
6/8/2019 18:26:02,Hi,English,6/8/2019,Waves and says haaaaa
6/11/2019 9:32:52,Dinosaur,Animal Sound,6/11/2019,Roars
6/11/2019 9:33:25,Frog,Animal Sound,6/11/2019,Makes a unique sounds when asked what sounds a frog makes
6/11/2019 15:41:55,Cold,Sign,6/11/2019,Pretends to shiver
6/11/2019 17:48:44,Fish,Chinese,6/6/2019,Yu
6/12/2019 18:41:24,Me,English,6/12/2019,Says me me me when asked who wants to read.
6/14/2019 16:48:40,Pig,Animal Sound,6/14/2019,
6/15/2019 10:14:34,Bye,English,6/15/2019,Says bye gor gor when waving good bye
6/15/2019 15:11:44,Owl,Sign,6/15/2019,Hoo hoo
6/15/2019 15:12:02,Wolf,Sign,6/15/2019,Awooo
6/17/2019 18:33:36,Bye,English,6/17/2019,Says bye to animals that are leaving
6/17/2019 18:56:58,Aunt's Name,Name,6/17/2019,Fa fa
6/18/2019 19:09:46,Me,English,6/18/2019,Says me me me when asked who wants to go to the park
6/18/2019 19:16:26,Ball,English,6/18/2019,Say ball
6/19/2019 19:26:41,Flower,Chinese,6/19/2019,Fa fa
6/19/2019 19:28:39,Owl,Animal Sound,6/19/2019,Hoo hoo when pointing to an owl in a book
6/20/2019 12:27:47,More,English,6/20/2019,
6/24/2019 16:14:52,Aunt,Chinese,6/24/2019,Eh eh
6/26/2019 15:45:44,Water,Sign,6/26/2019,Pats mouth
6/26/2019 15:46:12,Hungry,Sign,6/26/2019,Points to mouth
6/26/2019 19:11:06,Drum,Sign,6/23/2019,"Makes banging motion with both hands, used in reference to lion dancing videos as well."
6/28/2019 7:25:12,Milk,Chinese,6/28/2019,Nie
7/2/2019 19:49:41,Chicken,Chinese,7/2/2019,
7/5/2019 13:38:21,Bubble,Chinese,7/5/2019,Points at bubbles and says boo
7/5/2019 14:35:08,Turtle,English,7/5/2019,
7/7/2019 7:37:07,Bubble,English,7/7/2019,Points at the bubble blowing device while saying bubble
7/7/2019 10:21:11,Grandma,English,7/7/2019,Ama
7/7/2019 16:57:51,Emily,Name,7/7/2019,
7/9/2019 18:23:46,Cat,Animal Sound,7/9/2019,
7/9/2019 21:22:55,Older sister,Chinese,7/9/2019,Ye ye
7/10/2019 18:03:40,Pick me up,Chinese,7/10/2019,Po
7/10/2019 18:03:50,No,English,7/10/2019,
7/10/2019 22:32:03,Aunt,Chinese,7/10/2019,
7/10/2019 22:32:33,Open,Spanish,7/10/2019,Abre while playing with surprise wgga
7/11/2019 18:30:59,Milk,Chinese,7/11/2019,
7/12/2019 23:11:13,Cat,Animal Sound,7/12/2019,
7/13/2019 7:53:49,More,English,7/13/2019,
7/13/2019 8:01:59,Bee,Animal Sound,7/13/2019,Zzzzzz
7/13/2019 8:02:37,Cat,Animal Sound,7/13/2019,
7/13/2019 17:58:48,Me,Chinese,7/13/2019,
7/14/2019 9:20:10,Beep,Car sounds,7/14/2019,Says beep beep while going around on his toy car
7/14/2019 16:35:21,Cookie,Spanish,7/14/2019,
7/17/2019 7:27:04,Me,Chinese,7/17/2019,Nough
7/18/2019 18:43:18,Pooped,Sign,7/17/2019,Touches rear or diaper
7/18/2019 19:05:47,Bear,Animal Sound,7/18/2019,Grrrr
7/18/2019 22:37:25,Wipe,Chinese,7/18/2019,Mat mat
7/19/2019 8:38:41,Twinkle twinkle Little star,Sign,7/19/2019,Pinches fingers together for both hands
7/21/2019 6:49:45,Uh oh,English,7/21/2019,Says when he drops something
7/22/2019 16:02:57,Owl,Animal Sound,7/22/2019,
7/22/2019 16:34:32,Google,English,7/22/2019,Points at Google Home and says Gooo
7/26/2019 15:20:28,Ball,English,7/26/2019,
7/27/2019 7:59:10,Poke,Chinese,7/27/2019,When asking to have a straw put in his drink
7/28/2019 7:39:44,Turtle,English,7/28/2019,
7/28/2019 12:47:48,Wipe,Chinese,7/28/2019,May mat
7/28/2019 12:48:10,Yogurt drink,Chinese,7/28/2019,
7/30/2019 18:13:26,Bear,Animal Sound,7/30/2019,
8/3/2019 14:12:41,Pick me up,Chinese,8/3/2019,Po
8/3/2019 15:23:04,Grandma,English,8/3/2019,Ama
8/4/2019 12:04:30,Wow,English,8/4/2019,
8/4/2019 12:06:21,Cheese,English,8/4/2019,Says when taking his picture
8/6/2019 7:15:24,Hippopotamus,Chinese,8/6/2019,
8/9/2019 10:13:56,Bye,English,8/9/2019,
8/9/2019 17:28:06,Row,English,8/9/2019,From row row row your boat
8/10/2019 6:37:51,Grandma,English,8/10/2019,Ama
8/10/2019 22:09:43,Penis,Chinese,8/10/2019,
8/11/2019 6:42:26,Chick,Animal Sound,8/11/2019,Pio
8/11/2019 11:39:44,To pet,Chinese,8/11/2019,Says when he sees a dog
8/11/2019 12:02:01,Scared,Sign,8/11/2019,Taps chest
8/12/2019 16:42:19,Draw,Chinese,8/12/2019,
8/12/2019 17:43:21,Yeah,English,8/12/2019,Cheering while clapping
8/13/2019 10:27:32,Run,Chinese,8/13/2019,
8/13/2019 10:27:42,Kick,Chinese,8/13/2019,
8/13/2019 16:58:04,Milk,Chinese,8/13/2019,
8/13/2019 16:58:16,Milk,English,8/13/2019,
8/14/2019 8:05:12,Jump,Chinese,8/14/2019,
8/14/2019 18:56:47,Cold,Sign,8/14/2019,Shakes arms as if shivering
8/15/2019 6:55:13,Open,Spanish,7/17/2019,Abre
8/15/2019 15:12:28,Elmo,English,8/15/2019,The muppet
8/15/2019 15:38:19,More,Chinese,8/15/2019,
8/15/2019 16:09:07,Tickle,Chinese,8/15/2019,
8/16/2019 18:33:36,Thank you,Chinese,8/16/2019,
8/16/2019 19:12:21,Press,Chinese,8/16/2019,Press a button
8/16/2019 22:41:57,Beep,English,8/16/2019,Car horn sound when pushing key fob
8/17/2019 9:39:53,Bubble,English,8/17/2019,
8/17/2019 18:05:21,Older sister,Chinese,8/17/2019,
8/18/2019 9:19:18,Tunnel,English,8/18/2019,Cory loves brio trains
8/18/2019 9:19:58,Choo choo,English,8/18/2019,Train sound
8/18/2019 15:34:06,Hello,English,8/18/2019,
8/19/2019 6:57:01,Car,English,8/19/2019,
8/19/2019 18:10:26,Car,Chinese,8/19/2019,
8/19/2019 20:20:14,Water,English,8/19/2019,Wa wa
8/20/2019 7:31:06,Noodle,Chinese,8/20/2019,
8/20/2019 17:49:23,Rooster,Animal Sound,8/20/2019,
8/20/2019 18:28:12,Ball,English,8/20/2019,
8/22/2019 13:05:43,Blue,English,8/22/2019,
8/22/2019 19:26:55,Bee,Animal Sound,8/22/2019,
8/22/2019 19:31:30,Maternal Grandmother,Chinese,8/22/2019,Pau pau
8/23/2019 17:32:37,Yellow,English,8/23/2019,
8/23/2019 17:32:47,Drop,Chinese,8/23/2019,
8/23/2019 17:44:20,Draw,Chinese,8/23/2019,Wah 
8/23/2019 18:31:54,Water,Spanish,8/23/2019,
8/23/2019 18:33:14,Don't have,Chinese,8/23/2019,
8/24/2019 14:28:10,Peel,Chinese,8/24/2019,
8/26/2019 17:32:24,Pasta,English,8/26/2019,
8/27/2019 7:02:03,Yellow,English,8/27/2019,Points at night light
8/27/2019 7:06:09,M&M,English,8/27/2019,Says something like num num while pointing at packaging
8/27/2019 18:17:20,Wow,English,8/27/2019,
8/28/2019 7:57:42,Bread,Chinese,8/28/2019,
8/28/2019 14:33:06,Mango,Chinese,8/28/2019,
8/28/2019 14:33:24,Banana,English,8/28/2019,Nana
8/30/2019 18:38:41,I,English,8/30/2019,As in: I baby!
8/31/2019 16:16:13,Cow,Spanish,8/31/2019,
8/31/2019 18:30:20,Bath,English,8/31/2019,
8/31/2019 19:04:55,Horse,Chinese,8/31/2019,
9/1/2019 6:31:29,Book,English,9/1/2019,
9/1/2019 13:03:14,Elmo,English,9/1/2019,The muppet
9/1/2019 13:05:19,Cow,Spanish,9/1/2019,
9/1/2019 16:10:00,Rock,English,9/1/2019,
9/1/2019 16:12:41,Have,Chinese,9/1/2019,
9/1/2019 16:12:56,Don't have,Chinese,9/1/2019,
9/1/2019 16:14:12,Pour,Chinese,9/1/2019,
9/2/2019 9:55:35,Stop,English,9/2/2019,
9/2/2019 10:19:21,Light,Spanish,9/2/2019,
9/3/2019 21:10:34,M&M,English,9/3/2019,Says num num like Theo
9/4/2019 7:09:50,You,English,9/4/2019,
9/4/2019 7:13:15,Owl,English,9/4/2019,
9/4/2019 7:13:27,Owl,Animal Sound,9/4/2019,
9/4/2019 11:00:54,Hold my hand,Chinese,9/4/2019,Lai
9/4/2019 15:32:12,Cold,Chinese,9/4/2019,
9/4/2019 15:47:42,Tickle,Chinese,9/4/2019,
9/4/2019 19:40:29,Cold,Chinese,9/4/2019,
9/5/2019 7:30:14,Mango,Chinese,9/5/2019,
9/5/2019 7:58:12,Full,Chinese,9/5/2019,Bow
9/5/2019 14:57:24,Cheese,English,9/5/2019,For photos
9/5/2019 15:46:01,Owl,Spanish,9/5/2019,Buho
9/5/2019 17:05:44,Leave,Chinese,9/5/2019,
9/5/2019 17:51:27,Whistle,Sign,9/5/2019,Blows through fingers to ask for toy whistle
9/5/2019 18:00:00,Tear apart,Chinese,9/5/2019,
9/5/2019 18:00:15,Milk,Chinese,9/5/2019,
9/5/2019 18:00:27,Water,Spanish,9/5/2019,
9/5/2019 18:17:53,2,English,9/5/2019,
9/5/2019 19:21:17,Pour,Chinese,9/5/2019,
9/6/2019 17:41:24,Hat,Chinese,9/6/2019,
9/7/2019 13:41:36,Leg,Chinese,9/7/2019,
9/7/2019 13:41:46,Mango,English,9/7/2019,
9/7/2019 13:41:59,Push,English,9/7/2019,
9/7/2019 13:42:38,Push,Chinese,9/2/2019,
9/7/2019 16:54:52,Turtle,English,9/7/2019,
9/7/2019 18:48:21,Pig,Chinese,9/7/2019,
9/7/2019 18:53:39,Peel,Chinese,9/7/2019,
9/8/2019 15:57:10,Shoe,Chinese,9/8/2019,
9/8/2019 15:57:19,Shoe,English,9/8/2019,
9/8/2019 16:23:37,Off,English,9/8/2019,
9/8/2019 18:48:14,Read,Chinese,9/8/2019,
9/10/2019 17:01:59,Feet,Chinese,9/10/2019,
9/10/2019 17:47:04,Book,English,9/10/2019,
9/10/2019 17:47:31,Read,Chinese,9/10/2019,
9/13/2019 7:50:07,Noodle,Chinese,9/13/2019,
9/13/2019 18:01:42,Broccoli,Chinese,9/13/2019,
9/14/2019 16:58:02,Rock,English,9/13/2019,
9/15/2019 15:10:51,Book,English,9/15/2019,
9/16/2019 21:08:41,Google,English,9/16/2019,
9/17/2019 19:19:22,Fall,English,9/17/2019,
9/18/2019 15:20:48,Cow,English,9/18/2019,
9/18/2019 16:47:03,Carry,Chinese,9/18/2019,
9/18/2019 19:01:34,Uncle,Chinese,9/18/2019,
9/18/2019 19:01:51,Good bye,English,9/18/2019,
9/18/2019 19:08:39,Cow,Animal Sound,9/18/2019,
9/19/2019 15:29:25,Bear,Spanish,9/19/2019,Oso
