company,date,estimate,notes
zillow,2022/02/14,"$883,000",
redfin,2022/02/14,"$1,189,113",
list,2022/02/20,"$998,000",list
redfin,2022/02/20,"$1,005,749",
redfin,2022/02/25,"$1,143,186",
zillow,2022/02/25,"$1,062,600",
xome,2022/02/26,"$973,141",
redfin,2022/02/26,"$1,136,776",
zillow,2022/02/26,"$1,062,600",
realtor collateral,2022/02/26,"$1,018,000",
redfin,2022/02/28,"$1,148,015",
redfin,2022/03/01,"$1,146,798",
pending,2022/03/01,,pending
redfin,2022/03/02,"$1,145,893",
redfin,2022/03/03,"$1,161,860",
redfin,2022/03/04,"$1,162,248",
redfin,2022/03/06,"$1,162,033",
zillow,2022/03/06,"$1,091,900",
redfin,2022/03/07,"$1,161,724",
zillow,2022/03/07,"$1,048,100",
redfin,2022/03/08,"$1,164,701",
zillow,2022/03/08,"$1,048,100",
zillow,2022/03/09,"$1,048,100",
redfin,2022/03/09,"$1,154,488",
zillow,2022/03/11,"$1,094,100",
redfin,2022/03/11,"$1,154,653",
zillow,2022/03/12,"$1,094,100",
redfin,2022/03/12,"$1,154,653",
zillow,2022/03/13,"$1,094,100",
redfin,2022/03/13,"$1,161,367",
zillow,2022/03/14,"$1,049,100",
redfin,2022/03/14,"$1,154,629",
zillow,2022/03/15,"$1,045,800",
redfin,2022/03/15,"$1,154,629",
zillow,2022/03/16,"$1,045,800",
redfin,2022/03/16,"$1,164,202",
zillow,2022/03/17,"$1,045,800",
redfin,2022/03/17,"$1,150,595",
zillow,2022/03/19,"$1,173,100",
redfin,2022/03/19,"$1,158,478",
zillow,2022/03/20,"$1,173,100",
redfin,2022/03/20,"$1,144,454",
zillow,2022/03/21,"$1,073,900",
redfin,2022/03/21,"$1,151,559",
zillow,2022/03/22,"$1,073,900",
redfin,2022/03/22,"$1,151,906",
zillow,2022/03/23,"$1,073,900",
redfin,2022/03/23,"$1,151,906",
zillow,2022/03/24,"$1,003,600",
redfin,2022/03/24,"$1,159,512",
sold,2022/03/25,"$1,275,000",sold
zillow,2022/03/26,"$1,003,600",
redfin,2022/03/26,"$1,159,512",
zillow,2022/03/27,"$1,131,800",
redfin,2022/03/27,"$1,159,512",
zillow,2022/03/28,"$1,131,800",
redfin,2022/03/28,"$1,159,512",
zillow,2022/03/29,"$1,144,800",
redfin,2022/03/29,"$1,159,512",
zillow,2022/03/30,"$1,144,800",
redfin,2022/03/30,"$1,171,377",
zillow,2022/04/01,"$1,144,800",
redfin,2022/04/01,"$1,171,377",
zillow,2022/04/04,"$1,280,200",
redfin,2022/04/04,"$1,294,053",
zillow,2022/04/05,"$1,280,200",
redfin,2022/04/05,"$1,294,053",
zillow,2022/04/06,"$1,280,200",
redfin,2022/04/06,"$1,294,053",
zillow,2022/04/07,"$1,280,200",
redfin,2022/04/07,"$1,294,053",
zillow,2022/04/09,"$1,288,400",
redfin,2022/04/09,"$1,294,053",
zillow,2022/04/10,"$1,288,400",
redfin,2022/04/10,"$1,294,053",